Date,Open,High,Low,Close,Adj Close,Volume
2000-12-01,7.558188,8.655110,7.402750,8.449734,1.752338,63209200
2001-01-01,8.410615,8.928944,7.941185,8.889824,1.875631,59426800
2001-02-01,8.821366,9.359254,7.960745,8.527972,1.799286,48938600
2001-03-01,8.512325,9.144099,7.295719,7.963215,1.680129,78165800
2001-04-01,7.973071,8.278590,7.500009,7.500009,1.614083,68016200
2001-05-01,7.539430,8.800930,7.391598,8.741797,1.881329,69499000
2001-06-01,8.702375,9.214859,8.672809,9.011510,1.939375,58780600
2001-07-01,9.110756,9.477965,8.842793,9.001586,1.972072,49196600
2001-08-01,8.981737,9.996028,8.932114,9.577211,2.098180,47939200
2001-09-01,9.589121,10.023817,8.435885,9.206032,2.016862,50141800
2001-10-01,9.180228,9.716155,8.587865,8.767820,1.920858,61734000
2001-11-01,8.867795,9.987517,8.807810,9.791565,2.185304,45983800
2001-12-01,9.673595,10.145477,9.567621,9.857067,2.199924,53721800
2002-01-01,9.834920,10.102688,9.442329,9.782575,2.221337,56907800
2002-02-01,9.780561,10.082555,9.100070,9.971824,2.264309,51653000
2002-03-01,9.955718,10.821367,9.945651,10.667268,2.422223,54623000
2002-04-01,10.604412,11.330298,10.563860,10.938968,2.528272,56843000
2002-05-01,10.971410,11.393154,10.350961,11.125509,2.571388,52215000
2002-06-01,10.999797,11.137674,9.833920,10.213520,2.360603,54280600
2002-07-01,10.244167,10.468909,9.001954,10.062330,2.369998,74817200
2002-08-01,10.062330,10.466866,9.459612,9.602629,2.261723,57869200
2002-09-01,9.561767,9.757906,8.744522,9.229714,2.173890,48377000
2002-10-01,9.188510,10.228913,8.656977,9.452216,2.272432,65531800
2002-11-01,9.497541,10.268057,9.178209,10.117662,2.432414,54217400
2002-12-01,10.198010,11.042694,9.940484,10.849034,2.608244,53369000
2003-01-01,10.859335,11.364030,10.143564,10.523403,2.529959,60812800
2003-02-01,10.504722,11.177224,10.349050,10.928149,2.675499,37075400
2003-03-01,10.897015,11.083821,10.309614,10.855438,2.657696,41701800
2003-04-01,10.792690,11.669073,10.761316,11.669073,2.910475,48442600
2003-05-01,11.650249,12.396952,11.510111,12.246357,3.054461,49741200
2003-06-01,12.288189,12.863381,12.235899,12.663327,3.158462,50481400
2003-07-01,12.694933,13.565142,12.576939,12.741288,3.234551,46516600
2003-08-01,12.694933,13.183767,12.298809,12.966741,3.291786,49266000
2003-09-01,13.000454,13.367080,12.709682,13.295440,3.375231,34547600
2003-10-01,13.324939,14.298046,13.281758,13.890682,3.526342,47564200
2003-11-01,13.928873,14.128311,13.377234,13.597889,3.509493,39688000
2003-12-01,13.614863,14.032835,13.186282,13.960698,3.603128,52895600
2004-01-01,14.022698,14.640560,13.836698,14.431043,3.724521,47165200
2004-02-01,14.473802,14.858629,14.270698,14.676905,3.787976,35660000
2004-03-01,14.708974,15.440147,14.482353,15.136561,3.906610,54690600
2004-04-01,15.179319,16.069777,14.739568,15.082848,3.892745,48822700
2004-05-01,15.198704,15.323143,14.117374,14.675203,3.851052,41482600
2004-06-01,14.589383,15.657841,14.473526,15.370344,4.033473,39854400
2004-07-01,15.366017,15.958848,15.106383,15.837686,4.156109,27613300
2004-08-01,15.924230,16.395899,15.266491,15.569397,4.085707,28395500
2004-09-01,15.578052,16.114630,15.409289,15.989139,4.195854,32820600
2004-10-01,16.037128,17.450628,15.967326,17.276123,4.533582,40555000
2004-11-01,17.276123,17.306662,15.884435,16.316338,4.363589,41023600
2004-12-01,16.447218,18.160067,16.373053,17.896240,4.786115,34197300
2005-01-01,18.050138,18.182053,17.258659,17.368587,4.729953,42128600
2005-02-01,17.368587,18.054537,16.986038,17.588444,4.789824,39482100
2005-03-01,17.759930,18.190847,17.333410,17.390574,4.735940,47854100
2005-04-01,17.465933,17.798407,17.195522,17.727480,4.827689,37070600
2005-05-01,17.754078,17.918097,17.372841,17.621088,4.888671,38364900
2005-06-01,17.621088,18.526110,17.412739,18.119385,5.026914,51868800
2005-07-01,18.146200,19.057981,18.021055,18.660194,5.274190,38081200
2005-08-01,18.990938,18.999878,18.016584,18.280287,5.166812,44183700
2005-09-01,18.257938,19.764162,18.119385,19.555046,5.527114,51817600
2005-10-01,19.627123,19.910921,18.739691,19.365849,5.571113,38802700
2005-11-01,19.370354,22.433571,19.320801,20.118139,5.787528,38157300
2005-12-01,20.271299,21.222740,19.955969,20.945824,6.025634,38918800
2006-01-01,21.050236,21.331692,20.705223,20.995758,6.144838,42101000
2006-02-01,21.018457,22.094349,20.945824,21.654005,6.337487,39259600
2006-03-01,21.876446,21.921843,21.018457,21.415606,6.267717,54055700
2006-04-01,21.543676,21.584845,20.596853,21.278383,6.332480,29285200
2006-05-01,21.328697,21.351568,19.005091,20.208061,6.013952,43690300
2006-06-01,20.226357,20.857573,20.043396,20.404383,6.072377,46911900
2006-07-01,20.441296,21.797897,20.372082,21.018082,6.376648,27871700
2006-08-01,21.096525,22.836111,20.930410,21.811741,6.617435,31038400
2006-09-01,21.917868,22.540796,21.161125,22.345732,6.779440,43495500
2006-10-01,22.327126,23.024849,21.861979,22.931820,7.079952,38072000
2006-11-01,22.931820,24.834276,22.699245,24.164463,7.460518,39036700
2006-12-01,24.234236,24.820322,23.545815,24.429447,7.542329,43229000
2007-01-01,24.499783,24.607628,23.655769,23.801128,7.476788,35448500
2007-02-01,23.946486,24.476337,23.716726,23.848017,7.491517,27912800
2007-03-01,23.679214,25.554796,23.135296,25.135681,7.896019,47047800
2007-04-01,25.211292,25.863432,24.975010,25.230194,8.059145,32144200
2007-05-01,25.230194,25.835077,24.696198,25.428673,8.122540,40172000
2007-06-01,25.376690,25.513733,24.025156,24.731771,7.899933,57889200
2007-07-01,24.784201,25.012978,23.311447,23.568821,7.666487,46828300
2007-08-01,23.354343,24.898588,22.258118,24.898588,8.099036,62994400
2007-09-01,24.898588,25.332312,24.374308,25.116610,8.169954,41589400
2007-10-01,25.212749,25.712679,24.039841,25.707870,8.513950,46391200
2007-11-01,25.486750,25.717485,23.390894,25.405029,8.413651,48664700
2007-12-01,25.371382,25.606924,23.833139,24.396732,8.079728,38396200
2008-01-01,24.372473,24.430698,20.912870,23.382627,7.896795,68508800
2008-02-01,23.518490,24.091045,22.902264,23.188541,7.831251,48531900
2008-03-01,23.188541,23.188541,20.379131,22.815414,7.705237,79992900
2008-04-01,23.055576,23.977016,21.786148,23.437876,8.082311,64356600
2008-05-01,23.437876,24.506353,22.962454,24.383821,8.408510,56124100
2008-06-01,24.349512,25.736572,22.865606,23.108225,7.968632,67212500
2008-07-01,23.593464,25.113546,20.771160,24.747143,8.713823,78459700
2008-08-01,24.856073,25.524513,22.885412,24.286661,8.551680,48851100
2008-09-01,23.915304,25.098692,21.414843,23.766764,8.368623,98538200
2008-10-01,23.915304,24.381327,17.636810,20.108465,7.080477,104426600
2008-11-01,20.253563,20.353630,14.424659,18.512398,6.658077,72716700
2008-12-01,17.761894,18.202188,14.314586,16.666161,5.994069,82504200
2009-01-01,16.752487,17.265369,13.888467,15.066575,5.418772,76151300
2009-02-01,14.853296,16.021248,12.182242,14.579082,5.402272,71800900
2009-03-01,14.218540,16.848970,12.837311,15.777502,5.846346,96885500
2009-04-01,15.482975,18.482962,15.386492,17.498236,6.483965,95352200
2009-05-01,17.534325,20.106989,17.400278,19.684225,7.516746,65530100
2009-06-01,20.091520,22.942589,19.905918,22.385780,8.548376,66105500
2009-07-01,22.385780,24.253782,20.650393,23.946112,9.144217,57566700
2009-08-01,24.170345,25.088140,22.506842,23.914824,9.337556,58501500
2009-09-01,23.518503,25.651335,22.402548,25.484463,9.950421,63257100
2009-10-01,25.494892,25.625259,22.912683,23.839937,9.308315,47203300
2009-11-01,23.708225,26.289787,23.623930,25.552198,10.175944,41539600
2009-12-01,25.789282,26.338621,24.524843,26.189634,10.429804,51450200
2010-01-01,26.317337,26.354584,23.475958,23.853745,9.680634,40629500
2010-02-01,23.944201,25.716070,23.619623,25.434061,10.321982,32953200
2010-03-01,25.465986,27.679497,25.450026,27.072908,10.987079,51204100
2010-04-01,27.158873,28.179680,26.508778,27.819712,11.290157,50557500
2010-05-01,27.937910,28.416079,25.633032,25.923157,10.714397,56442100
2010-06-01,26.175673,27.857321,25.794212,26.352970,10.892042,52753800
2010-07-01,26.510351,28.458605,25.913393,27.997318,11.571676,46676700
2010-08-01,28.274090,28.480310,26.591755,27.812803,11.713205,52625300
2010-09-01,27.948477,29.956425,27.791096,29.804472,12.551983,55481700
2010-10-01,29.842802,30.527269,29.388315,29.935890,12.607333,35073100
2010-11-01,29.913986,30.061832,28.534100,29.141907,12.478096,56126900
2010-12-01,29.558064,31.694872,29.366413,31.534714,13.502657,57452400
2011-01-01,31.534714,31.567848,30.584806,31.181259,13.561972,53698300
2011-02-01,31.346941,33.843208,31.280668,33.136299,14.412297,49366100
2011-03-01,33.163914,33.373779,31.402168,32.854641,14.289793,63811900
2011-04-01,32.927071,33.344929,31.339216,32.141502,13.979618,36556500
2011-05-01,32.041218,33.278069,31.757072,33.071926,14.615621,33867200
2011-06-01,33.177784,33.261356,31.545361,32.662563,14.434711,46129200
2011-07-01,32.718781,32.853706,30.228333,30.458824,13.680805,37079600
2011-08-01,30.604992,30.897324,27.619823,30.655586,13.769178,66178000
2011-09-01,30.779266,30.852350,27.614202,29.927849,13.442314,58834100
2011-10-01,29.377203,30.416048,27.821774,29.819990,13.628619,51900200
2011-11-01,29.377203,30.126535,27.259773,29.263668,13.374359,42253100
2011-12-01,29.309082,29.388557,26.987289,29.154375,13.324410,54846700
2012-01-01,29.366594,31.460112,29.320709,29.555870,13.756799,46277100
2012-02-01,29.791033,31.276569,29.022453,30.599762,14.242682,59101600
2012-03-01,30.829187,32.790787,29.974573,32.365952,15.064753,61317800
2012-04-01,32.209564,32.591843,31.155415,31.740410,15.028659,35876200
2012-05-01,31.775164,31.792540,29.110821,30.680466,14.526790,41925100
2012-06-01,30.292398,31.027988,29.278791,30.867512,14.615355,39957200
2012-07-01,31.054800,31.622519,29.562344,30.639254,14.771890,43754700
2012-08-01,30.727045,31.400114,29.995449,30.580727,14.743669,43968300
2012-09-01,30.580727,32.190239,30.387585,31.890146,15.374978,49454600
2012-10-01,32.026176,32.292320,31.351940,32.085320,15.749218,32142800
2012-11-01,32.085320,33.120331,30.932022,33.120331,16.257259,31571900
2012-12-01,33.037529,34.734943,32.682667,34.318264,16.845266,39093000
2013-01-01,34.772179,35.357487,34.061443,35.028996,17.482199,36575500
2013-02-01,35.172337,36.701309,34.843849,36.689365,18.310852,32569500
2013-03-01,36.629639,36.934238,35.136501,35.663914,17.799070,50396100
2013-04-01,35.645817,35.748383,33.992641,35.048500,17.792795,42442700
2013-05-01,35.114868,36.291397,34.692524,35.621681,18.083778,43689500
2013-06-01,35.682014,35.700115,33.244488,34.286812,17.406118,49896900
2013-07-01,34.274616,36.098122,33.646450,35.378475,18.284315,41779600
2013-08-01,35.537045,35.982246,34.982063,35.677311,18.438757,33893400
2013-09-01,35.848076,36.720188,35.555340,36.359852,18.791510,37705500
2013-10-01,36.433804,39.502823,36.101021,39.065273,20.539486,37639100
2013-11-01,39.219341,41.135937,38.707836,40.186882,21.129200,36986400
2013-12-01,40.125256,41.037334,38.522957,40.938728,21.524502,43164400
2014-01-01,40.889427,41.059383,37.675095,38.011036,19.985197,48383800
2014-02-01,37.948826,39.852489,37.276943,39.392124,21.031879,36242000
2014-03-01,38.987751,40.648792,38.900658,40.234795,21.481792,35461900
2014-04-01,40.329048,41.925121,40.190807,41.849716,22.707773,27960300
2014-05-01,41.899986,43.898216,41.592083,43.753689,23.740875,24776100
2014-06-01,43.741123,45.303238,43.571461,45.106682,24.475021,38720200
2014-07-01,45.252514,47.509750,45.100342,46.926418,25.830723,31780100
2014-08-01,46.888378,47.167362,45.189110,45.677330,25.143167,32157000
2014-09-01,45.620266,46.495262,43.185493,43.920998,24.176384,40376900
2014-10-01,43.971722,44.416088,41.003899,44.185619,24.322048,48009200
2014-11-01,44.281647,45.562019,42.732399,45.133095,25.224558,36280500
2014-12-01,45.075478,45.357162,40.261284,42.450718,23.725397,61485500
2015-01-01,42.612373,42.806358,39.282272,39.482723,22.066612,58979400
2015-02-01,39.818966,43.789223,39.637913,43.200798,24.525928,40378600
2015-03-01,43.233128,43.362453,40.025887,41.086346,23.325518,53898100
2015-04-01,41.041080,44.080509,40.704838,43.485710,24.687683,36379200
2015-05-01,43.479176,43.982468,41.570587,42.747116,24.677307,30524300
2015-06-01,43.054317,43.786381,41.642487,42.139244,24.326385,62365800
2015-07-01,42.100025,43.066940,39.981766,42.406303,24.480560,48501800
2015-08-01,42.379875,42.379875,34.749516,39.783573,23.345575,43642900
2015-09-01,39.030445,39.757149,37.557224,38.865288,22.806705,57914800
2015-10-01,38.845467,42.206100,37.827042,41.109661,24.123737,46480900
2015-11-01,41.216633,41.664566,39.304554,40.708527,24.324604,33534100
2015-12-01,40.454475,41.002693,36.951229,37.878754,22.633718,49858300
2016-01-01,37.391479,38.839767,34.630264,38.839767,23.636877,59816300
2016-02-01,38.481079,38.663807,34.900970,37.059864,22.553680,48542700
2016-03-01,37.899059,43.401188,37.871986,42.954521,26.141014,58417100
2016-04-01,42.550648,45.158722,41.722359,45.042351,27.411610,39914400
2016-05-01,45.001278,45.124496,41.893494,43.906025,27.175575,53106000
2016-06-01,43.693817,46.137604,42.687553,43.827015,27.126682,52829200
2016-07-01,44.200836,46.173779,43.210903,45.903797,28.883034,29417500
2016-08-01,45.439983,48.631306,45.059238,48.326710,30.407549,34810600
2016-09-01,48.153645,49.330486,47.260628,48.635513,30.601851,35715800
2016-10-01,48.663498,50.720295,48.306709,50.426468,32.216328,27464800
2016-11-01,50.538403,52.091492,48.411648,51.867622,33.137039,41724400
2016-12-01,51.916595,54.134296,51.566799,52.814129,33.741737,45427800
2017-01-01,53.054317,55.781212,53.026062,54.933475,35.589653,33440500
2017-02-01,55.244312,58.140751,54.410702,54.424831,35.260109,38639300
2017-03-01,55.138344,56.890339,53.365158,55.492966,35.952126,62302900
2017-04-01,55.742611,56.391693,53.174816,54.123474,35.546562,55628400
2017-05-01,54.301792,54.993671,52.290352,54.365986,35.705833,66918300
2017-06-01,54.615635,57.062176,54.123474,56.179207,36.896698,68195700
2017-07-01,56.632900,57.187420,55.387035,55.934353,37.234364,30925200
2017-08-01,56.121593,56.532082,54.782108,55.948757,37.243950,34573000
2017-09-01,56.027973,57.972389,54.594868,57.756344,38.447224,41225700
2017-10-01,58.003632,60.985638,57.901806,60.571064,40.320919,32176400
2017-11-01,60.796532,62.185711,59.094608,59.283710,40.011238,31521800
2017-12-01,59.436447,60.941998,58.760040,59.575417,40.208118,34152700
2018-01-01,59.465256,61.117680,59.333061,60.016064,41.050598,42183600
2018-02-01,60.008720,60.016064,55.227703,58.385674,39.935417,48078300
2018-03-01,58.591309,60.735786,57.239990,58.282856,39.865097,46414800
2018-04-01,58.208649,59.165928,56.449921,58.564846,40.057976,30566300
2018-05-01,58.453533,59.952534,56.895168,58.060230,40.279522,41527400
2018-06-01,56.954533,57.518513,55.492638,55.850475,38.746502,56358700
2018-07-01,55.993031,57.906231,55.452831,57.838703,40.725388,32813600
2018-08-01,57.883720,58.971622,56.645767,56.668278,39.901264,43800000
2018-09-01,56.578243,58.709023,55.985527,57.763680,40.672562,46929200
2018-10-01,58.408531,58.529915,52.354496,53.598686,37.739910,58800300
2018-11-01,53.932491,55.335995,52.627609,54.850456,39.198101,51073200
2018-12-01,55.457378,55.510487,50.344070,52.271996,37.355438,72100500
2019-01-01,51.765022,57.510715,51.665161,57.456947,41.740543,45293000
2019-02-01,57.372452,58.317265,55.598045,56.181831,40.814228,46505900
2019-03-01,56.535175,56.811707,54.100170,54.645550,39.698162,86009000
2019-04-01,55.049931,57.546188,54.863293,57.375107,41.681091,54680400
2019-05-01,57.406212,57.670612,53.160236,53.315765,39.358730,52750100
2019-06-01,53.346874,55.952003,53.307991,55.378761,40.881680,54035100
2019-07-01,55.937744,56.276283,54.323776,55.473240,41.607220,41742700
2019-08-01,55.441746,55.969238,52.883018,55.740921,41.807995,43614500
2019-09-01,55.473240,60.374294,55.103207,59.952042,44.966507,67653400
2019-10-01,59.991875,60.685009,58.255058,60.183086,45.826836,51400300
2019-11-01,60.382263,61.147099,59.362480,59.705063,45.462845,36315200
2019-12-01,59.681160,60.222919,58.175388,58.438301,44.498264,55725500
2020-01-01,58.677315,59.411884,57.790680,58.298817,44.392052,59621900
2020-02-01,58.403671,60.428162,55.532284,56.637283,43.799206,51195100
