STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1917-07,,21.21212,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1917-08,,21.21212,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1917-09,,17.64706,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1917-10,,18.84058,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1917-11,,15.49296,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1917-12,,15.27778,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1918-01,,13.51351,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1918-02,,14.86487,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1918-03,,13.1579,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1918-04,,13.1579,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,CAN,Canada,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1918-05,,10.12658,,A,Normal value,,,,,,,2,Two
