STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_HORIZ,Time horizon,METHODOLOGY,Calculation methodology,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1964-12,,30.60583,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1965-01,,31.04943,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1965-02,,30.87653,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1965-03,,31.52233,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1965-04,,31.48831,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1965-05,,31.69051,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1965-06,,31.74248,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1965-07,,32.56969,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1965-08,,31.84168,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1965-09,,32.53567,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1965-10,,33.26414,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1965-11,,33.41768,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1965-12,,33.91703,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1966-01,,33.89624,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1966-02,,34.07718,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1966-03,,33.97183,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1966-04,,34.18962,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1966-05,,34.20285,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1966-06,,34.22883,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1966-07,,34.08332,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1966-08,,33.53673,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1966-09,,34.39512,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1966-10,,34.78251,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1966-11,,34.63842,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1966-12,,34.68094,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1967-01,,34.93699,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.0),"Production, sales, work started and orders",I,CAN,Canada,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,1967-02,,34.62236,,A,Normal value,0,Units,2,Two,2015,
